@relation PokeSet
@attribute Height real
@attribute Weight real
@attribute Body {head,serpertine,fins,headArms,headBase,bipedalTailed,headLegs,quadruped,singleWings,multiped,multiBody,bipedalTailless,TwoMoreWings,insectoid}
@attribute CatchRate real
@attribute PerfSpeed real
@attribute PerfPower real
@attribute PerfSkill real
@attribute PerfStamina real
@attribute PerfJump real
@attribute BaseHp real
@attribute BaseAttack real
@attribute BaseDefense real
@attribute BaseSpAttack real
@attribute BaseSpDefense real
@attribute BaseSpeed real
@attribute Color { 'black' ,'blue' ,'brown' ,'gray' ,'green' ,'pink' ,'purple' ,'red' ,'silver' ,'yellow' }
@attribute Habitat {'cave' ,'forest' ,'grass' ,'mountain' ,'rare' ,'rough' ,'sea' ,'urban' ,'water' }
@attribute Ability1 { 'Adaptability' ,'Aftermath' ,'Air Lock' ,'Anticipation' ,'Bad Dreams' ,'Battle Armor' ,'Big Pecks' ,'Blaze' ,'Chlorophyll' ,'Clear Body' ,'Color Change' ,'Compound Eyes' ,'Cute Charm' ,'Damp' ,'Defeatist' ,'Defiant' ,'Download' ,'Drizzle' ,'Drought' ,'Early Bird' ,'Effect Spore' ,'Flame Body' ,'Flash Fire' ,'Flower Gift' ,'Forecast' ,'Forewarn' ,'Frisk' ,'Gluttony' ,'Guts' ,'Healer' ,'Honey Gather' ,'Hustle' ,'Hydration' ,'Hyper Cutter' ,'Ice Body' ,'Illuminate' ,'Illusion' ,'Immunity' ,'Inner Focus' ,'Insomnia' ,'Intimidate' ,'Iron Barbs' ,'Iron Fist' ,'Justified' ,'Keen Eye' ,'Leaf Guard' ,'Levitate' ,'Lightningrod' ,'Limber' ,'Liquid Ooze' ,'Magma Armor' ,'Magnet Pull' ,'Marvel Scale' ,'Minus' ,'Mold Breaker' ,'Motor Drive' ,'Multitype' ,'Mummy' ,'Natural Cure' ,'Oblivious' ,'Overcoat' ,'Overgrow' ,'Own Tempo' ,'Pickup' ,'Plus' ,'Poison Point' ,'Prankster' ,'Pressure' ,'Pure Power' ,'Reckless' ,'Rivalry' ,'Rock Head' ,'Rough Skin' ,'Run Away' ,'Sand Force' ,'Sand Rush' ,'Sand Stream' ,'Sand Veil' ,'Serene Grace' ,'Shadow Tag' ,'Shed Skin' ,'Sheer Force' ,'Shell Armor' ,'Shield Dust' ,'Simple' ,'Slow Start' ,'Snow Cloak' ,'Snow Warning' ,'Solid Rock' ,'Soundproof' ,'Speed Boost' ,'Static' ,'Steadfast' ,'Stench' ,'Sticky Hold' ,'Sturdy' ,'Suction Cups' ,'Swarm' ,'Swift Swim' ,'Synchronize' ,'Technician' ,'Telepathy' ,'Teravolt' ,'Thick Fat' ,'Torrent' ,'Trace' ,'Truant' ,'Turboblaze' ,'Unaware' ,'Victory Star' ,'Vital Spirit' ,'Volt Absorb' ,'Water Absorb' ,'Water Veil' ,'White Smoke' ,'Wonder Guard' ,'Wonder Skin' }
@attribute Ability2 {'Adaptability' ,'Aftermath' ,'Anger Point' ,'Anticipation' ,'Arena Trap' ,'Battle Armor' ,'Big Pecks' ,'Chlorophyll' ,'Cloud Nine' ,'Compound Eyes' ,'Cursed Body' ,'Damp' ,'Download' ,'Dry Skin' ,'Early Bird' ,'Filter' ,'Flame Body' ,'Flash Fire' ,'Forewarn' ,'Frisk' ,'Gluttony' ,'Guts' ,'Heatproof' ,'Huge Power' ,'Hustle' ,'Hydration' ,'Ice Body' ,'Illuminate' ,'Infiltrator' ,'Inner Focus' ,'Insomnia' ,'Intimidate' ,'Iron Fist' ,'Keen Eye' ,'Klutz' ,'Leaf Guard' ,'Lightningrod' ,'Limber' ,'Liquid Ooze' ,'Magic Guard' ,'Magnet Pull' ,'Minus' ,'Mold Breaker' ,'Motor Drive' ,'Moxie' ,'Natural Cure' ,'No Guard' ,'Normalize' ,'Oblivious' ,'Overcoat' ,'Own Tempo' ,'Pickup' ,'Poison Heal' ,'Poison Point' ,'Poison Touch' ,'Pressure' ,'Quick Feet' ,'Rain Dish' ,'Reckless' ,'Regenerator' ,'Rivalry' ,'Rock Head' ,'Run Away' ,'Sand Force' ,'Sand Rush' ,'Sand Veil' ,'Sap Sipper' ,'Scrappy' ,'Serene Grace' ,'Shed Skin' ,'Sheer Force' ,'Shell Armor' ,'Simple' ,'Skill Link' ,'Sniper' ,'Snow Cloak' ,'Solar Power' ,'Solid Rock' ,'Stall' ,'Static' ,'Steadfast' ,'Sticky Hold' ,'Storm Drain' ,'Sturdy' ,'Super Luck' ,'Swarm' ,'Swift Swim' ,'Synchronize' ,'Tangled Feet' ,'Technician' ,'Thick Fat' ,'Tinted Lens' ,'Trace' ,'Unaware' ,'Unburden' ,'Unnerve' ,'Water Absorb' ,'Water Veil' ,'Weak Armor' }
@attribute Hidden {'Analytic' ,'Anger Point' ,'Anticipation' ,'Big Pecks' ,'Contrary' ,'Cursed Body' ,'Damp' ,'Defiant' ,'Dry Skin' ,'Early Bird' ,'Friend Guard' ,'Harvest' ,'Honey Gather' ,'Hustle' ,'Hydration' ,'Ice Body' ,'Infiltrator' ,'Inner Focus' ,'Justified' ,'Light Metal' ,'Moody' ,'Moxie' ,'Oblivious' ,'Overcoat' ,'Own Tempo' ,'Prankster' ,'Quick Feet' ,'Rattled' ,'Regenerator' ,'Run Away' ,'Sap Sipper' ,'Sheer Force' ,'Steadfast' ,'Technician' ,'Thick Fat' ,'Unaware' ,'Unburden' ,'Unnerve' ,'Vital Spirit' ,'Wonder Skin' }
@attribute Exp {Erratic, Fast , Fluctuating, MediumFast, MediumSlow, Slow }
@attribute class { Grass,Fire,Water,Bug,Normal,Poison,Electric,Ground,Fairy,Fighting,Rock,Ghost,Psychic,Ice,Dragon,Dark,Steel,Flying}
@data 
0.3,4,head,190,3,3,2,4,2,30,65,100,45,25,40,"purple","sea","Shell Armor","Skill Link","Overcoat",Slow,Water
1.5,132.5,head,60,2,5,1,4,2,50,95,180,85,45,70,"purple","sea","Shell Armor","Skill Link","Overcoat",Slow,Water
1.3,0.1,head,190,4,1,4,2,4,30,35,30,100,35,80,"purple","cave","Levitate",?,?,MediumSlow,Ghost
0.5,10.4,head,190,5,2,3,2,5,40,30,50,55,55,100,"red","urban","Soundproof","Static",?,MediumFast,Electric
1.2,66.6,head,60,5,3,3,4,4,60,50,70,80,80,140,"red","urban","Soundproof","Static",?,MediumFast,Electric
0.6,1,head,190,3,3,3,4,3,40,65,95,60,45,35,"purple","urban","Levitate",?,?,MediumFast,Poison
0.3,4,head,35,5,5,5,5,5,48,48,48,48,48,48,"purple","urban","Limber",?,?,MediumFast,Normal
0.3,1.8,head,235,5,5,5,5,5,30,30,30,30,30,30,"yellow","grass","Chlorophyll","Solar Power","Early Bird",MediumSlow,Grass
0.7,1,head,45,4,2,3,2,5,60,60,60,85,85,85,"gray","cave","Levitate",?,?,Fast,Ghost
0.5,5,head,225,4,3,5,4,5,48,72,48,72,48,48,"black","rare","Levitate",?,?,MediumFast,Psychic
0.6,7.2,head,190,3,5,4,5,3,50,65,90,35,35,15,"gray","forest","Sturdy",?,?,MediumFast,Bug
1.2,125.8,head,75,2,4,4,5,3,75,90,140,60,60,40,"purple","forest","Sturdy",?,?,MediumFast,Bug
0.6,10,head,120,3,3,3,4,2,50,35,55,25,25,15,"silver","forest","Shed Skin",?,?,MediumFast,Bug
0.7,11.5,head,120,2,3,4,4,2,50,35,55,25,25,15,"purple","forest","Shed Skin",?,?,MediumFast,Bug
1,168,head,45,3,3,4,4,3,70,55,65,95,85,70,"yellow","cave","Levitate",?,?,Fast,Rock
1.2,154,head,45,3,5,4,4,3,70,95,85,55,65,70,"red","cave","Levitate",?,?,Fast,Rock
0.3,0.8,head,45,4,4,4,4,4,70,70,70,70,70,70,"silver","grass","Forecast",?,?,MediumFast,Normal
0.6,2.3,head,225,5,2,3,3,4,44,75,35,63,33,45,"black","urban","Insomnia","Frisk","Cursed Body",Fast,Ghost
1.5,256.5,head,75,3,5,2,5,2,80,80,80,80,80,80,"gray","cave","Inner Focus","Ice Body","Moody",MediumFast,Ice
0.4,52.5,head,255,3,3,3,5,3,35,64,85,74,55,32,"blue","sea","Shell Armor",?,?,Erratic,Water
0.9,4.4,head,45,4,2,5,3,5,60,60,60,105,105,105,"purple",?,"Levitate",?,?,Fast,Ghost
0.5,60.5,head,255,3,4,1,5,4,57,24,86,24,86,23,"green",?,"Levitate","Heatproof",?,MediumFast,Steel
0.3,0.3,head,45,5,3,5,4,5,50,65,107,105,107,86,"red",?,"Levitate",?,?,MediumFast,Electric
1.2,58.5,head,120,?,?,?,?,?,40,55,99,40,79,47,"gray",?,"Poison Point","Swarm",?,MediumSlow,Bug
0.3,0.6,head,190,?,?,?,?,?,40,27,60,37,50,66,"green",?,"Prankster","Infiltrator",?,MediumFast,Grass
0.3,1,head,200,?,?,?,?,?,45,30,40,105,50,20,"green",?,"Overcoat","Magic Guard",?,MediumSlow,Psychic
0.6,8,head,100,?,?,?,?,?,65,40,50,125,60,30,"green",?,"Overcoat","Magic Guard",?,MediumSlow,Psychic
0.6,18.8,head,255,?,?,?,?,?,44,50,91,24,86,10,"gray",?,"Iron Barbs",?,?,MediumFast,Grass
1.1,148,head,25,?,?,?,?,?,70,50,30,95,135,105,"blue",?,"Levitate",?,?,MediumFast,Ice
0.4,7.7,head,200,?,?,?,?,?,50,40,85,40,65,25,"red",?,"Hydration","Shell Armor",?,MediumFast,Bug
0.3,2.9,serpertine,255,3,3,4,3,2,45,30,35,20,20,45,"green","forest","Shield Dust",?,?,MediumFast,Bug
0.7,9.9,serpertine,120,3,3,1,5,3,50,20,55,25,25,30,"green","forest","Shed Skin",?,?,MediumFast,Bug
0.3,3.2,serpertine,255,3,4,4,3,2,40,35,30,20,20,50,"brown","forest","Shield Dust",?,?,MediumFast,Bug
0.6,10,serpertine,120,3,3,1,5,3,45,25,50,25,25,35,"yellow","forest","Shed Skin",?,?,MediumFast,Bug
2,6.9,serpertine,255,5,4,3,3,3,35,60,44,40,54,55,"purple","grass","Intimidate","Shed Skin",?,MediumFast,Poison
3.5,65,serpertine,90,4,5,3,4,3,60,85,69,65,79,80,"purple","grass","Intimidate","Shed Skin",?,MediumFast,Poison
8.8,210,serpertine,45,4,2,2,4,3,35,45,160,30,45,70,"gray","cave","Rock Head","Sturdy",?,MediumFast,Rock
6.5,672.4,serpertine,45,3,5,2,4,5,95,155,109,70,130,81,"blue","water","Intimidate",?,?,Slow,Water
1.8,3.3,serpertine,45,5,3,3,4,3,41,64,45,50,50,50,"blue","water","Shed Skin",?,?,Slow,Dragon
4,16.5,serpertine,45,4,3,4,3,5,61,84,65,70,70,70,"blue","water","Shed Skin",?,?,Slow,Dragon
1.5,14,serpertine,190,3,4,2,4,5,100,70,70,65,65,45,"yellow","cave","Serene Grace","Run Away",?,MediumFast,Normal
9.2,400,serpertine,25,2,5,2,5,2,75,85,200,55,65,30,"gray","cave","Rock Head","Sturdy",?,MediumFast,Steel
0.7,35,serpertine,190,2,3,3,4,2,40,40,40,70,40,20,"red","mountain","Magma Armor","Flame Body",?,MediumFast,Fire
0.8,55,serpertine,75,1,4,2,5,2,50,50,120,80,80,30,"red","mountain","Magma Armor","Flame Body",?,MediumFast,Fire
1.2,152,serpertine,45,4,4,1,4,4,70,84,70,65,70,51,"gray","mountain","Shed Skin",?,?,Slow,Rock
