@relation PokeSet
@attribute Height numeric
@attribute Weight numeric
@attribute Body numeric
@attribute CatchRate numeric
@attribute PerfSpeed numeric
@attribute PerfPower numeric
@attribute PerfSkill numeric
@attribute PerfStamina numeric
@attribute PerfJump numeric
@attribute BaseHp numeric
@attribute BaseAttack numeric
@attribute BaseDefense numeric
@attribute BaseSpAttack numeric
@attribute BaseSpDefense numeric
@attribute BaseSpeed numeric
@attribute Color numeric
@attribute Habitat numeric
@attribute Ability1 numeric
@attribute Ability2 numeric
@attribute Hidden numeric
@attribute class { Grass,Fire,Water,Bug,Normal,Poison,Electric,Ground,Fairy,Fighting,Rock,Ghost,Psychic,Ice,Dragon,Dark,Steel,Flying}
@data 
0.3,4,0,190,3,3,2,4,2,30,65,100,45,25,40,9,6,82,73,23,Water
1.5,132.5,0,60,2,5,1,4,2,50,95,180,85,45,70,9,6,82,73,23,Water
1.3,0.1,0,190,4,1,4,2,4,30,35,30,100,35,80,9,0,46,?,?,Ghost
0.5,10.4,0,190,5,2,3,2,5,40,30,50,55,55,100,2,7,89,79,?,Electric
1.2,66.6,0,60,5,3,3,4,4,60,50,70,80,80,140,2,7,89,79,?,Electric
0.6,1,0,190,3,3,3,4,3,40,65,95,60,45,35,9,7,46,?,?,Poison
0.3,4,0,35,5,5,5,5,5,48,48,48,48,48,48,9,7,48,?,?,Normal
0.3,1.8,0,235,5,5,5,5,5,30,30,30,30,30,30,4,2,8,76,9,Grass
0.7,1,0,45,4,2,3,2,5,60,60,60,85,85,85,7,0,46,?,?,Ghost
0.5,5,0,225,4,3,5,4,5,48,72,48,72,48,48,0,4,46,?,?,Psychic
0.6,7.2,0,190,3,5,4,5,3,50,65,90,35,35,15,7,1,95,?,?,Bug
1.2,125.8,0,75,2,4,4,5,3,75,90,140,60,60,40,9,1,95,?,?,Bug
0.6,10,0,120,3,3,3,4,2,50,35,55,25,25,15,8,1,80,?,?,Bug
0.7,11.5,0,120,2,3,4,4,2,50,35,55,25,25,15,9,1,80,?,?,Bug
1,168,0,45,3,3,4,4,3,70,55,65,95,85,70,4,0,46,?,?,Rock
1.2,154,0,45,3,5,4,4,3,70,95,85,55,65,70,2,0,46,?,?,Rock
0.3,0.8,0,45,4,4,4,4,4,70,70,70,70,70,70,8,2,24,?,?,Normal
0.6,2.3,0,225,5,2,3,3,4,44,75,35,63,33,45,0,7,39,19,5,Ghost
1.5,256.5,0,75,3,5,2,5,2,80,80,80,80,80,80,7,0,38,26,20,Ice
0.4,52.5,0,255,3,3,3,5,3,35,64,85,74,55,32,6,6,82,?,?,Water
0.9,4.4,0,45,4,2,5,3,5,60,60,60,105,105,105,9,?,46,?,?,Ghost
0.5,60.5,0,255,3,4,1,5,4,57,24,86,24,86,23,5,?,46,22,?,Steel
0.3,0.3,0,45,5,3,5,4,5,50,65,107,105,107,86,2,?,46,?,?,Electric
1.2,58.5,0,120,?,?,?,?,?,40,55,99,40,79,47,7,?,65,85,?,Bug
0.3,0.6,0,190,?,?,?,?,?,40,27,60,37,50,66,5,?,66,28,?,Grass
0.3,1,0,200,?,?,?,?,?,45,30,40,105,50,20,5,?,60,39,?,Psychic
0.6,8,0,100,?,?,?,?,?,65,40,50,125,60,30,5,?,60,39,?,Psychic
0.6,18.8,0,255,?,?,?,?,?,44,50,91,24,86,10,7,?,41,?,?,Grass
1.1,148,0,25,?,?,?,?,?,70,50,30,95,135,105,6,?,46,?,?,Ice
