@relation 'PokeSet-weka.filters.unsupervised.attribute.Remove-R1-2,4-15-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.ReplaceMissingValues'

@attribute Body {head,serpertine,fins,headArms,headBase,bipedalTailed,headLegs,quadruped,singleWings,multiped,multiBody,bipedalTailless,TwoMoreWings,insectoid}
@attribute Color {black,blue,brown,gray,green,pink,purple,red,silver,yellow}
@attribute Habitat {cave,forest,grass,mountain,rare,rough,sea,urban,water}
@attribute Ability1 {Adaptability,Aftermath,'Air Lock',Anticipation,'Bad Dreams','Battle Armor','Big Pecks',Blaze,Chlorophyll,'Clear Body','Color Change','Compound Eyes','Cute Charm',Damp,Defeatist,Defiant,Download,Drizzle,Drought,'Early Bird','Effect Spore','Flame Body','Flash Fire','Flower Gift',Forecast,Forewarn,Frisk,Gluttony,Guts,Healer,'Honey Gather',Hustle,Hydration,'Hyper Cutter','Ice Body',Illuminate,Illusion,Immunity,'Inner Focus',Insomnia,Intimidate,'Iron Barbs','Iron Fist',Justified,'Keen Eye','Leaf Guard',Levitate,Lightningrod,Limber,'Liquid Ooze','Magma Armor','Magnet Pull','Marvel Scale',Minus,'Mold Breaker','Motor Drive',Multitype,Mummy,'Natural Cure',Oblivious,Overcoat,Overgrow,'Own Tempo',Pickup,Plus,'Poison Point',Prankster,Pressure,'Pure Power',Reckless,Rivalry,'Rock Head','Rough Skin','Run Away','Sand Force','Sand Rush','Sand Stream','Sand Veil','Serene Grace','Shadow Tag','Shed Skin','Sheer Force','Shell Armor','Shield Dust',Simple,'Slow Start','Snow Cloak','Snow Warning','Solid Rock',Soundproof,'Speed Boost',Static,Steadfast,Stench,'Sticky Hold',Sturdy,'Suction Cups',Swarm,'Swift Swim',Synchronize,Technician,Telepathy,Teravolt,'Thick Fat',Torrent,Trace,Truant,Turboblaze,Unaware,'Victory Star','Vital Spirit','Volt Absorb','Water Absorb','Water Veil','White Smoke','Wonder Guard','Wonder Skin'}
@attribute Ability2 {Adaptability,Aftermath,'Anger Point',Anticipation,'Arena Trap','Battle Armor','Big Pecks',Chlorophyll,'Cloud Nine','Compound Eyes','Cursed Body',Damp,Download,'Dry Skin','Early Bird',Filter,'Flame Body','Flash Fire',Forewarn,Frisk,Gluttony,Guts,Heatproof,'Huge Power',Hustle,Hydration,'Ice Body',Illuminate,Infiltrator,'Inner Focus',Insomnia,Intimidate,'Iron Fist','Keen Eye',Klutz,'Leaf Guard',Lightningrod,Limber,'Liquid Ooze','Magic Guard','Magnet Pull',Minus,'Mold Breaker','Motor Drive',Moxie,'Natural Cure','No Guard',Normalize,Oblivious,Overcoat,'Own Tempo',Pickup,'Poison Heal','Poison Point','Poison Touch',Pressure,'Quick Feet','Rain Dish',Reckless,Regenerator,Rivalry,'Rock Head','Run Away','Sand Force','Sand Rush','Sand Veil','Sap Sipper',Scrappy,'Serene Grace','Shed Skin','Sheer Force','Shell Armor',Simple,'Skill Link',Sniper,'Snow Cloak','Solar Power','Solid Rock',Stall,Static,Steadfast,'Sticky Hold','Storm Drain',Sturdy,'Super Luck',Swarm,'Swift Swim',Synchronize,'Tangled Feet',Technician,'Thick Fat','Tinted Lens',Trace,Unaware,Unburden,Unnerve,'Water Absorb','Water Veil','Weak Armor'}
@attribute Exp {Erratic,Fast,Fluctuating,MediumFast,MediumSlow,Slow}
@attribute class {Grass,Fire,Water,Bug,Normal,Poison,Electric,Ground,Fairy,Fighting,Rock,Ghost,Psychic,Ice,Dragon,Dark,Steel,Flying}

@data
head,purple,sea,'Shell Armor','Skill Link',Slow,Water
head,purple,sea,'Shell Armor','Skill Link',Slow,Water
head,purple,cave,Levitate,'Shell Armor',MediumSlow,Ghost
head,red,urban,Soundproof,Static,MediumFast,Electric
head,red,urban,Soundproof,Static,MediumFast,Electric
head,purple,urban,Levitate,'Shell Armor',MediumFast,Poison
head,purple,urban,Limber,'Shell Armor',MediumFast,Normal
head,yellow,grass,Chlorophyll,'Solar Power',MediumSlow,Grass
head,gray,cave,Levitate,'Shell Armor',Fast,Ghost
head,black,rare,Levitate,'Shell Armor',MediumFast,Psychic
head,gray,forest,Sturdy,'Shell Armor',MediumFast,Bug
head,purple,forest,Sturdy,'Shell Armor',MediumFast,Bug
head,silver,forest,'Shed Skin','Shell Armor',MediumFast,Bug
head,purple,forest,'Shed Skin','Shell Armor',MediumFast,Bug
head,yellow,cave,Levitate,'Shell Armor',Fast,Rock
head,red,cave,Levitate,'Shell Armor',Fast,Rock
head,silver,grass,Forecast,'Shell Armor',MediumFast,Normal
head,black,urban,Insomnia,Frisk,Fast,Ghost
head,gray,cave,'Inner Focus','Ice Body',MediumFast,Ice
head,blue,sea,'Shell Armor','Shell Armor',Erratic,Water
head,purple,grass,Levitate,'Shell Armor',Fast,Ghost
head,green,grass,Levitate,Heatproof,MediumFast,Steel
head,red,grass,Levitate,'Shell Armor',MediumFast,Electric
head,gray,grass,'Poison Point',Swarm,MediumSlow,Bug
head,green,grass,Prankster,Infiltrator,MediumFast,Grass
head,green,grass,Overcoat,'Magic Guard',MediumSlow,Psychic
head,green,grass,Overcoat,'Magic Guard',MediumSlow,Psychic
head,gray,grass,'Iron Barbs','Shell Armor',MediumFast,Grass
head,blue,grass,Levitate,'Shell Armor',MediumFast,Ice
head,red,grass,Hydration,'Shell Armor',MediumFast,Bug
serpertine,green,forest,'Shield Dust','Shell Armor',MediumFast,Bug
serpertine,green,forest,'Shed Skin','Shell Armor',MediumFast,Bug
serpertine,brown,forest,'Shield Dust','Shell Armor',MediumFast,Bug
serpertine,yellow,forest,'Shed Skin','Shell Armor',MediumFast,Bug
serpertine,purple,grass,Intimidate,'Shed Skin',MediumFast,Poison
serpertine,purple,grass,Intimidate,'Shed Skin',MediumFast,Poison
serpertine,gray,cave,'Rock Head',Sturdy,MediumFast,Rock
serpertine,blue,water,Intimidate,'Shell Armor',Slow,Water
serpertine,blue,water,'Shed Skin','Shell Armor',Slow,Dragon
serpertine,blue,water,'Shed Skin','Shell Armor',Slow,Dragon
serpertine,yellow,cave,'Serene Grace','Run Away',MediumFast,Normal
serpertine,gray,cave,'Rock Head',Sturdy,MediumFast,Steel
serpertine,red,mountain,'Magma Armor','Flame Body',MediumFast,Fire
serpertine,red,mountain,'Magma Armor','Flame Body',MediumFast,Fire
serpertine,gray,mountain,'Shed Skin','Shell Armor',Slow,Rock
serpertine,red,forest,'Shield Dust','Shell Armor',MediumFast,Bug
serpertine,black,grass,'Shed Skin','Shell Armor',Fluctuating,Poison
serpertine,pink,water,'Marvel Scale','Shell Armor',Erratic,Water
serpertine,blue,sea,'Swift Swim','Shell Armor',Erratic,Water
serpertine,pink,sea,'Swift Swim','Shell Armor',Erratic,Water
serpertine,green,rare,'Air Lock','Shell Armor',Slow,Dragon
serpertine,gray,grass,'Shed Skin','Shell Armor',MediumFast,Bug
serpertine,gray,grass,Anticipation,'Shell Armor',MediumFast,Bug
multiped,black,grass,Pressure,'Shell Armor',Slow,Ghost
