@relation 'PokeSet-weka.filters.supervised.attribute.Discretize-E-R3,16,17,18,19,20-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Remove-R1-2,4-15-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R1-3'

@attribute Ability1 {Adaptability,Aftermath,'Air Lock',Anticipation,'Bad Dreams','Battle Armor','Big Pecks',Blaze,Chlorophyll,'Clear Body','Color Change','Compound Eyes','Cute Charm',Damp,Defeatist,Defiant,Download,Drizzle,Drought,'Early Bird','Effect Spore','Flame Body','Flash Fire','Flower Gift',Forecast,Forewarn,Frisk,Gluttony,Guts,Healer,'Honey Gather',Hustle,Hydration,'Hyper Cutter','Ice Body',Illuminate,Illusion,Immunity,'Inner Focus',Insomnia,Intimidate,'Iron Barbs','Iron Fist',Justified,'Keen Eye','Leaf Guard',Levitate,Lightningrod,Limber,'Liquid Ooze','Magma Armor','Magnet Pull','Marvel Scale',Minus,'Mold Breaker','Motor Drive',Multitype,Mummy,'Natural Cure',Oblivious,Overcoat,Overgrow,'Own Tempo',Pickup,Plus,'Poison Point',Prankster,Pressure,'Pure Power',Reckless,Rivalry,'Rock Head','Rough Skin','Run Away','Sand Force','Sand Rush','Sand Stream','Sand Veil','Serene Grace','Shadow Tag','Shed Skin','Sheer Force','Shell Armor','Shield Dust',Simple,'Slow Start','Snow Cloak','Snow Warning','Solid Rock',Soundproof,'Speed Boost',Static,Steadfast,Stench,'Sticky Hold',Sturdy,'Suction Cups',Swarm,'Swift Swim',Synchronize,Technician,Telepathy,Teravolt,'Thick Fat',Torrent,Trace,Truant,Turboblaze,Unaware,'Victory Star','Vital Spirit','Volt Absorb','Water Absorb','Water Veil','White Smoke','Wonder Guard','Wonder Skin'}
@attribute Ability2 {Adaptability,Aftermath,'Anger Point',Anticipation,'Arena Trap','Battle Armor','Big Pecks',Chlorophyll,'Cloud Nine','Compound Eyes','Cursed Body',Damp,Download,'Dry Skin','Early Bird',Filter,'Flame Body','Flash Fire',Forewarn,Frisk,Gluttony,Guts,Heatproof,'Huge Power',Hustle,Hydration,'Ice Body',Illuminate,Infiltrator,'Inner Focus',Insomnia,Intimidate,'Iron Fist','Keen Eye',Klutz,'Leaf Guard',Lightningrod,Limber,'Liquid Ooze','Magic Guard','Magnet Pull',Minus,'Mold Breaker','Motor Drive',Moxie,'Natural Cure','No Guard',Normalize,Oblivious,Overcoat,'Own Tempo',Pickup,'Poison Heal','Poison Point','Poison Touch',Pressure,'Quick Feet','Rain Dish',Reckless,Regenerator,Rivalry,'Rock Head','Run Away','Sand Force','Sand Rush','Sand Veil','Sap Sipper',Scrappy,'Serene Grace','Shed Skin','Sheer Force','Shell Armor',Simple,'Skill Link',Sniper,'Snow Cloak','Solar Power','Solid Rock',Stall,Static,Steadfast,'Sticky Hold','Storm Drain',Sturdy,'Super Luck',Swarm,'Swift Swim',Synchronize,'Tangled Feet',Technician,'Thick Fat','Tinted Lens',Trace,Unaware,Unburden,Unnerve,'Water Absorb','Water Veil','Weak Armor'}
@attribute class {Grass,Fire,Water,Bug,Normal,Poison,Electric,Ground,Fairy,Fighting,Rock,Ghost,Psychic,Ice,Dragon,Dark,Steel,Flying}

@data
'Shell Armor','Skill Link',Water
'Shell Armor','Skill Link',Water
Levitate,'Shell Armor',Ghost
Soundproof,Static,Electric
Soundproof,Static,Electric
Levitate,'Shell Armor',Poison
Limber,'Shell Armor',Normal
Chlorophyll,'Solar Power',Grass
Levitate,'Shell Armor',Ghost
Levitate,'Shell Armor',Psychic
Sturdy,'Shell Armor',Bug
Sturdy,'Shell Armor',Bug
'Shed Skin','Shell Armor',Bug
'Shed Skin','Shell Armor',Bug
Levitate,'Shell Armor',Rock
Levitate,'Shell Armor',Rock
Forecast,'Shell Armor',Normal
Insomnia,Frisk,Ghost
'Inner Focus','Ice Body',Ice
'Shell Armor','Shell Armor',Water
Levitate,'Shell Armor',Ghost
Levitate,Heatproof,Steel
Levitate,'Shell Armor',Electric
'Poison Point',Swarm,Bug
Prankster,Infiltrator,Grass
Overcoat,'Magic Guard',Psychic
Overcoat,'Magic Guard',Psychic
'Iron Barbs','Shell Armor',Grass
Levitate,'Shell Armor',Ice
Hydration,'Shell Armor',Bug
'Shield Dust','Shell Armor',Bug
'Shed Skin','Shell Armor',Bug
'Shield Dust','Shell Armor',Bug
'Shed Skin','Shell Armor',Bug
Intimidate,'Shed Skin',Poison
Intimidate,'Shed Skin',Poison
'Rock Head',Sturdy,Rock
Intimidate,'Shell Armor',Water
'Shed Skin','Shell Armor',Dragon
'Shed Skin','Shell Armor',Dragon
'Serene Grace','Run Away',Normal
'Rock Head',Sturdy,Steel
'Magma Armor','Flame Body',Fire
'Magma Armor','Flame Body',Fire
'Shed Skin','Shell Armor',Rock
'Shield Dust','Shell Armor',Bug
'Shed Skin','Shell Armor',Poison
'Marvel Scale','Shell Armor',Water
'Swift Swim','Shell Armor',Water
'Swift Swim','Shell Armor',Water
'Air Lock','Shell Armor',Dragon
'Shed Skin','Shell Armor',Bug
Anticipation,'Shell Armor',Bug
Pressure,'Shell Armor',Ghost
Overgrow,'Shell Armor',Grass
'Thick Fat',Hydration,Water
'Thick Fat',Hydration,Water
'Swift Swim','Water Veil',Water
'Swift Swim','Water Veil',Water
'Swift Swim','Shell Armor',Water
'Water Absorb','Shell Armor',Water
'Volt Absorb',Illuminate,Water
'Volt Absorb',Illuminate,Water
'Poison Point','Swift Swim',Water
Hustle,Sniper,Water
'Rough Skin','Shell Armor',Water
'Rough Skin','Shell Armor',Water
'Water Veil',Oblivious,Water
'Water Veil',Oblivious,Water
Oblivious,Anticipation,Water
Oblivious,Anticipation,Water
'Swift Swim','Shell Armor',Water
'Thick Fat','Ice Body',Ice
'Thick Fat','Ice Body',Ice
'Swift Swim','Rock Head',Water
'Swift Swim','Shell Armor',Water
Drizzle,'Shell Armor',Water
'Swift Swim','Storm Drain',Water
'Swift Swim','Storm Drain',Water
'Swift Swim',Hydration,Water
Reckless,Adaptability,Water
Healer,Hydration,Water
Levitate,'Shell Armor',Electric
Levitate,'Shell Armor',Electric
Levitate,'Shell Armor',Electric
Static,Limber,Ground
'Rock Head',Sturdy,Rock
'Magnet Pull',Sturdy,Electric
Stench,'Sticky Hold',Poison
Stench,'Sticky Hold',Poison
Levitate,'Shell Armor',Ghost
'Liquid Ooze','Sticky Hold',Poison
'Liquid Ooze','Sticky Hold',Poison
